"","X","CODE_N","COMMUNE","BVQ_N","POPSDC99","LOG","LOGVAC","STRATLOG","surf_m2","lat_centre","lon_centre"
"1",1,31001,"AGASSAC",31239,121,65,9,1,9511618,43.3724901646255,0.886155477254824
"2",2,31002,"AIGNES",31033,193,99,7,1,22017258,43.3345629261766,1.58660779351184
"3",3,31003,"AIGREFEUILLE",31044,577,179,1,2,4608949,43.569188194331,1.58515812491066
"4",4,31004,"AYGUESVIVES",31582,1815,656,15,3,13328942,43.4286416570317,1.59430557928741
"5",5,31005,"ALAN",31028,299,163,9,2,11439648,43.2199787534334,0.927075570666306
"6",6,31006,"ALBIAC",31106,159,60,3,1,4778496,43.5560032146056,1.78321179215534
"7",7,31007,"AMBAX",31239,72,37,4,1,5921731,43.3683893223919,0.936480445045116
"8",8,31008,"ANAN",31239,230,120,5,2,13561175,43.3523900231592,0.810961371061698
"9",9,31009,"ANTICHAN-DE-",31483,84,77,3,1,4450033,42.9695676878599,0.676324658427515
"10",10,31010,"ANTIGNAC",31042,100,76,0,1,5837765,42.8306213411081,0.588468902368619
"11",11,31011,"ARBAS",31523,186,230,7,2,7327314,42.9922768473526,0.905454340010245
"12",12,31012,"ARBON",31483,76,79,7,1,4448211,43.0006541448779,0.731785035269774
"13",13,31013,"ARDIEGE",31483,325,156,8,2,3802439,43.0667818019411,0.644560472555798
"14",14,31014,"ARGUENOS",31020,57,94,1,1,11148392,42.9582106828288,0.728018944354492
"15",15,31015,"ARGUT-DESSOU",31471,33,67,3,1,2721250,42.8924420696772,0.715031733801895
"16",16,31017,"ARLOS",31471,88,117,14,2,9381097,42.8741715179624,0.695054825130182
"17",17,31018,"ARNAUD-GUILH",31523,167,91,10,1,7763274,43.1463037170533,0.89949547696189
"18",18,31019,"ARTIGUE",31042,34,34,0,1,9607956,42.8257993416636,0.639896619362922
"19",19,31020,"ASPET",31020,923,684,90,3,26525625,43.0113711557778,0.806253612394161
"20",20,31021,"ASPRET-SARRA",31483,97,50,5,1,3984907,43.0699143407759,0.719978865294568
"21",21,31022,"AUCAMVILLE",31555,5533,2278,77,4,3990060,43.6711261953093,1.42335955836235
"22",22,31023,"AULON",31483,347,207,15,2,14821836,43.1906707240963,0.812772639755589
"23",23,31024,"AURAGNE",31033,310,129,8,2,13666726,43.3914322932606,1.50923619269146
"24",24,31025,"AUREVILLE",31395,540,198,4,2,6778684,43.4800480532223,1.45726178581584
"25",25,31026,"AURIAC-SUR-V",31106,958,446,33,3,30916762,43.5194477387304,1.82488636152095
"26",26,31027,"AURIBAIL",31033,162,69,4,1,9184005,43.3457256041626,1.37485341124008
"27",27,31028,"AURIGNAC",31028,980,539,35,3,18133770,43.214256023082,0.870688116033296
